Order_Id,Product_Id,Product_Name,User_Id,Order_Date,Return,City,Country,Client_Id,Client_Email,Order_Latitude,Order_Length,Client_Name,Birth_Day,Deliver_Man_Id,Name_Deliver_Man,Product_Cost,Product_Value,Market_Name
46840135,3,carrot seeds,83548684,2015 07 01,0,Lima,PERU,46282163,kolson@example.com,-12.037964,-77.0503238,Tiffany Walsh,2015 07 01,252,Kathryn West,222,215,Tienda3
10117004,5,shovel,75578603,2014 10 28,0,MEDELLIN,COLOMBIA,7288150,cbranch@example.net,6.2441988,-75.6,Brenda Miranda,2014 10 28,588,Jesse Gregory,632,397,Tienda3
3542839,3,carrot seeds,6470609,2021 03 14,0,BOGOTA,COLOMBIA,90980274,lpalmer@example.com,4.648625,-74.1,Brooke Butler,2021 03 14,197,Laura Park,328,426,Tienda3
29477761,6,fertilizer,71505663,1978 03 04,1,MEDELLIN,COLOMBIA,21558106,darrell55@example.org,6.2441988,-75.6,Troy Watson,1978 03 04,622,Bradley Young,217,729,Tienda3
92350192,1,dirt,56092052,1976 07 13,0,Lima,PERU,55603159,zacharyhughes@example.net,-12.037964,-77.0503238,William Williams,1976 07 13,338,Victoria Franco,769,462,Tienda3
63858572,1,dirt,20903971,1988 07 02,0,Lima,PERU,68453081,anthonylong@example.org,-12.037964,-77.0503238,Samuel Holmes,1988 07 02,305,Veronica Cruz,645,867,Tienda3
61875761,1,dirt,56020399,1992 08 17,3,Lima,PERU,33180464,wesleymendoza@example.org,-12.037964,-77.0503238,Stephanie Martinez,1992 08 17,894,Susan Macias,251,905,Tienda3
10686322,6,fertilizer,33105355,1988 09 14,0,Lima,PERU,8779242,sarah85@example.net,-12.037964,-77.0503238,Kevin Jacobs,1988 09 14,708,Jeffrey Mora,648,31,Tienda3
72103265,1,dirt,44730743,1982 01 07,0,MEDELLIN,COLOMBIA,65291566,millerpeggy@example.org,6.2441988,-75.6,Thomas Chang,1982 01 07,959,Corey Todd,656,168,Tienda3
19180323,5,shovel,90915054,2016 07 24,0,BOGOTA,COLOMBIA,62095056,wspencer@example.com,4.648625,-74.1,Jonathan Rice,2016 07 24,711,Eric Long,320,289,Tienda3
