Order_Id,Product_Id,Product_Name,User_Id,Order_Date,Return,City,Country,Client_Id,Client_Email,Order_Latitude,Order_Length,Client_Name,Birth_Day,Deliver_Man_Id,Name_Deliver_Man,Product_Cost,Product_Value
58094433,2,charger smartphone,87275991,"2014,02,22",5,erda,POLOMBIA,74109810,scottpearson@example.net,10.4002813,-75.5,Allen Bryan,"2014,02,22",529,Kyle Rodriguez,270,182
84490861,5,selfie stick,15453412,"2015,08,28",0,erda,POLOMBIA,25003743,timothykim@example.org,10.4002813,-75.5,Mrs. Kathleen Dorsey,"2015,08,28",113,Rachael Allen,315,832
22244153,2,charger smartphone,13645950,"1994,04,26",0,erda,POLOMBIA,14026214,qguzman@example.net,10.4002813,-75.5,Michael Gonzalez,"1994,04,26",823,Jennifer Jackson,100,918
44178194,4,cases,26472742,"1994,11,04",0,MEDALLO,POLOMBIA,62335817,dhenry@example.net,6.2441988,-75.6,Erica Hammond,"1994,11,04",216,Paul Ellis,389,331
67106064,1,PC,25569602,"2012,03,18",0,paloma city,Jaime,26474327,katherineconley@example.com,-12.037964,-77.0503238,Eric Baker,"2012,03,18",860,William Shannon,676,237
38156974,4,cases,10579070,"2002,07,25",0,erda,POLOMBIA,1761565,deckersonia@example.org,10.4002813,-75.5,Mrs. Laura Farley,"2002,07,25",669,Aimee Miller,388,571
24926600,2,charger smartphone,16838967,"1995,03,27",0,MEDALLO,POLOMBIA,43258689,nwright@example.org,6.2441988,-75.6,Monique Nelson,"1995,03,27",447,Michael Macias,376,314
20064494,1,PC,30534044,"1980,10,21",0,tierra de changua,POLOMBIA,99975769,hansonallison@example.org,4.648625,-74.1,Traci Browning,"1980,10,21",708,John Smith,959,12
78971043,5,selfie stick,72032428,"1979,12,24",0,MEDALLO,POLOMBIA,78894341,marymcmahon@example.org,6.2441988,-75.6,Kimberly Glover,"1979,12,24",489,James Sutton,378,746
59775452,1,PC,54680839,"1996,12,06",0,tierra de changua,POLOMBIA,32766601,fholder@example.net,4.648625,-74.1,Sonya Davis,"1996,12,06",612,Dr. Christine Ramos,246,806
72712531,2,charger smartphone,49993834,"1988,02,17",0,tierra de changua,POLOMBIA,6925663,wardjade@example.com,4.648625,-74.1,Lindsey Jackson,"1988,02,17",704,Derrick Jones,229,995
23965896,5,selfie stick,76502055,"2005,10,15",5,tierra de changua,POLOMBIA,46748022,wfoley@example.org,4.648625,-74.1,Bradley Montgomery,"2005,10,15",103,Matthew James,636,402
96296710,3,headphones,20159326,"1974,03,03",0,paloma city,Jaime,83854015,scott22@example.org,-12.037964,-77.0503238,Kayla Campbell,"1974,03,03",837,Robert Thompson,476,496
48587620,2,charger smartphone,76758178,"2011,03,09",0,MEDALLO,POLOMBIA,25045259,tsanders@example.com,6.2441988,-75.6,Mark Johnson,"2011,03,09",80,Dr. Alex Perry,568,48
37020633,1,PC,56476143,"2009,03,12",0,tierra de changua,POLOMBIA,94233030,kelleymegan@example.com,4.648625,-74.1,Pamela Diaz,"2009,03,12",258,Morgan Wallace,784,943
39354711,5,selfie stick,77510562,"1998,09,14",0,tierra de changua,POLOMBIA,61318478,natalie25@example.net,4.648625,-74.1,Janice Mitchell,"1998,09,14",98,Barbara Johnson,567,250
37795779,1,PC,89810588,"2009,09,30",0,erda,POLOMBIA,45572851,gregorymorton@example.com,10.4002813,-75.5,James Rollins,"2009,09,30",269,Brandy Rivera,340,861
1034080,4,cases,82243078,"1993,08,10",4,MEDALLO,POLOMBIA,40134063,johnny39@example.net,6.2441988,-75.6,Amy Peterson,"1993,08,10",813,Mrs. Kim Horne,610,980
6928978,3,headphones,9915531,"1980,11,03",0,paloma city,Jaime,16833019,carrie91@example.net,-12.037964,-77.0503238,Amanda Forbes,"1980,11,03",458,Julie Bates,32,282
45915707,1,PC,74590880,"1975,05,29",0,tierra de changua,POLOMBIA,79190956,brownjason@example.com,4.648625,-74.1,Billy Brown,"1975,05,29",181,Aaron Davis,963,438
5736803,2,charger smartphone,67060024,"1989,08,03",0,MEDALLO,POLOMBIA,17590417,hcalderon@example.com,6.2441988,-75.6,Jessica Fox,"1989,08,03",62,Susan Velez,986,354
83381407,2,charger smartphone,86254566,"2004,12,30",3,tierra de changua,POLOMBIA,59943655,corey58@example.net,4.648625,-74.1,Arthur Perry,"2004,12,30",142,Derek Kane,801,672
67514124,2,charger smartphone,27558110,"1980,06,02",0,paloma city,Jaime,65079737,brianestrada@example.com,-12.037964,-77.0503238,Lee Gomez,"1980,06,02",186,Wendy Livingston,846,732
72845153,1,PC,43492072,"1996,02,09",0,paloma city,Jaime,70794850,schultzcaleb@example.net,-12.037964,-77.0503238,Hannah Wallace,"1996,02,09",706,Wyatt Jacobs,946,409
40633225,3,headphones,4366070,"2013,04,04",0,erda,POLOMBIA,89160427,john51@example.net,10.4002813,-75.5,Kelsey Moody,"2013,04,04",34,Tonya Padilla,239,902
92265928,5,selfie stick,90138087,"1994,12,07",0,paloma city,Jaime,68712374,frankramos@example.org,-12.037964,-77.0503238,Roger Lewis,"1994,12,07",434,Nicholas King,609,841
90326503,4,cases,47869677,"1993,06,29",0,erda,POLOMBIA,99999244,ryan66@example.org,10.4002813,-75.5,Raymond Johnson,"1993,06,29",209,Cody Valdez,767,962
69613459,4,cases,54499959,"2000,09,30",0,erda,POLOMBIA,6192161,kyle61@example.com,10.4002813,-75.5,Rachel Deleon,"2000,09,30",469,Jennifer Anderson,208,459
29050596,4,cases,52747536,"2010,12,22",0,paloma city,Jaime,6313640,butlerpatricia@example.net,-12.037964,-77.0503238,Kevin Howell,"2010,12,22",485,Joshua Mckee,483,879
71673630,1,PC,9437652,"1979,10,20",0,MEDALLO,POLOMBIA,51770099,sking@example.net,6.2441988,-75.6,Ryan Arnold,"1979,10,20",889,Jesse Webster,954,641
15637382,1,PC,92516220,"1977,08,27",0,tierra de changua,POLOMBIA,37857734,michaelwilkins@example.com,4.648625,-74.1,Scott Rice,"1977,08,27",13,Sergio Davis,680,438
86613750,3,headphones,68731367,"1992,11,08",0,tierra de changua,POLOMBIA,78675271,spencelisa@example.com,4.648625,-74.1,Tonya Rios,"1992,11,08",124,Jessica Jones,95,848
19654311,5,selfie stick,27767715,"1996,01,01",0,tierra de changua,POLOMBIA,12722251,efranklin@example.net,4.648625,-74.1,Brandon Gonzales,"1996,01,01",507,Jeffery Castro,960,813
79385364,4,cases,19988991,"1973,09,03",0,paloma city,Jaime,49790304,jacksalas@example.net,-12.037964,-77.0503238,Ann Foster,"1973,09,03",919,Megan Smith,851,95
95498142,2,charger smartphone,5491841,"2003,04,08",0,MEDALLO,POLOMBIA,18618260,ethanhall@example.org,6.2441988,-75.6,Elizabeth Walls,"2003,04,08",24,Sharon Jones,977,549
24012801,5,selfie stick,23332475,"1992,02,23",0,paloma city,Jaime,45986742,ryan85@example.net,-12.037964,-77.0503238,Jessica Miller,"1992,02,23",974,Christopher Sanchez,859,710
48856815,4,cases,73473229,"2017,08,04",0,tierra de changua,POLOMBIA,13596610,jacobphillips@example.net,4.648625,-74.1,Elizabeth Hardy,"2017,08,04",272,David Jones,345,286
56614865,1,PC,35845693,"1989,01,31",0,tierra de changua,POLOMBIA,24972597,vsloan@example.org,4.648625,-74.1,Melissa Rosales,"1989,01,31",880,Kyle Walls,970,118
42694081,5,selfie stick,20940357,"1987,03,12",0,erda,POLOMBIA,84634015,danny38@example.com,10.4002813,-75.5,Samantha Holland,"1987,03,12",548,Rebecca Hudson,571,839
96454107,4,cases,54154382,"2013,05,08",0,MEDALLO,POLOMBIA,29927113,frostcarmen@example.org,6.2441988,-75.6,Alexandria Lopez,"2013,05,08",759,Ms. Kristy Gonzales,215,389
5216210,5,selfie stick,95011556,"2005,08,28",0,MEDALLO,POLOMBIA,54181975,yrodriguez@example.net,6.2441988,-75.6,Timothy Davis,"2005,08,28",222,Jeffery Martin,192,918
98823065,3,headphones,79846313,"1992,09,04",0,tierra de changua,POLOMBIA,65866514,bsmith@example.org,4.648625,-74.1,Rodney Jensen,"1992,09,04",822,Michael Chapman,290,744
78463354,1,PC,49161173,"1982,12,31",0,MEDALLO,POLOMBIA,4584055,emiller@example.net,6.2441988,-75.6,Miss Heather Fuller,"1982,12,31",589,Sarah Nelson,753,474
25440808,1,PC,15433162,"1983,11,10",0,tierra de changua,POLOMBIA,5595877,chadjones@example.org,4.648625,-74.1,Maria Evans,"1983,11,10",605,David Bauer,864,948
24820473,3,headphones,51838253,"2018,01,06",0,erda,POLOMBIA,9625776,hsmith@example.com,10.4002813,-75.5,Amanda Mcdonald,"2018,01,06",658,Austin Arellano Jr.,824,128
67003697,5,selfie stick,55591248,"1994,05,29",0,paloma city,Jaime,95390000,nmoss@example.net,-12.037964,-77.0503238,Alan Lloyd,"1994,05,29",226,Steven Vaughan,528,496
76784084,5,selfie stick,53497439,"2013,03,29",0,tierra de changua,POLOMBIA,84557046,psnow@example.com,4.648625,-74.1,Kenneth West,"2013,03,29",11,Edwin Harris,846,315
64591298,5,selfie stick,32023249,"1993,02,13",0,MEDALLO,POLOMBIA,46413118,cynthiabowers@example.com,6.2441988,-75.6,Yvonne Smith,"1993,02,13",377,Thomas Day,732,976
23463580,5,selfie stick,78449707,"2018,07,02",0,MEDALLO,POLOMBIA,37812430,irivera@example.com,6.2441988,-75.6,Linda Todd,"2018,07,02",733,Sharon Rocha,635,283
81405053,3,headphones,2074631,"1994,09,06",0,paloma city,Jaime,65848860,kathrynmccann@example.org,-12.037964,-77.0503238,Michael Mcdaniel,"1994,09,06",320,Amy Simpson,856,665
1775403,3,headphones,76429556,"1988,03,03",0,paloma city,Jaime,6871516,michaelmoon@example.net,-12.037964,-77.0503238,Ryan Mitchell,"1988,03,03",122,Travis Austin,72,946
83747702,1,PC,67703506,"1987,09,26",0,erda,POLOMBIA,34307726,asmith@example.net,10.4002813,-75.5,Jeremy Roberts,"1987,09,26",587,Michael Green,242,844
91682541,1,PC,22035521,"2011,10,07",0,paloma city,Jaime,68408143,jamesbass@example.com,-12.037964,-77.0503238,David Goodman,"2011,10,07",676,Cynthia Ferrell,180,254
14707498,1,PC,8211925,"2002,02,04",0,paloma city,Jaime,86496568,markgonzalez@example.com,-12.037964,-77.0503238,Karen Howard,"2002,02,04",550,Michael Alvarez,353,971
5602685,4,cases,65235893,"1995,11,26",0,MEDALLO,POLOMBIA,30686427,cheryldavis@example.org,6.2441988,-75.6,Lisa Greer,"1995,11,26",948,Belinda Kline,678,985
39252865,4,cases,38819985,"2007,01,03",0,paloma city,Jaime,30755313,robin86@example.net,-12.037964,-77.0503238,Wendy Mccarty,"2007,01,03",220,Rodney Torres,385,44
87569365,1,PC,22964010,"1989,01,22",0,MEDALLO,POLOMBIA,6689840,michelle74@example.org,6.2441988,-75.6,Robert Martinez,"1989,01,22",510,Amber Davis,243,924
45045027,4,cases,97961218,"2014,03,11",0,paloma city,Jaime,93642022,sarahhess@example.org,-12.037964,-77.0503238,Tyler Skinner,"2014,03,11",696,Kaitlyn Spears,222,282
55336342,2,charger smartphone,57610983,"2006,06,28",0,paloma city,Jaime,51079812,amy05@example.org,-12.037964,-77.0503238,Christine Copeland,"2006,06,28",620,Joshua Sanchez,284,935
7276793,2,charger smartphone,59865388,"1982,09,22",0,MEDALLO,POLOMBIA,42299030,jennifer21@example.com,6.2441988,-75.6,Alexander Carr,"1982,09,22",369,Austin Hanson,28,231
44112288,3,headphones,84233159,"2009,11,11",0,tierra de changua,POLOMBIA,69935413,maureenevans@example.net,4.648625,-74.1,Daniel Adams,"2009,11,11",70,James Garrett,629,831
28269439,3,headphones,85343713,"1980,04,11",0,tierra de changua,POLOMBIA,66263649,ilawrence@example.com,4.648625,-74.1,Christopher Williams,"1980,04,11",867,James Kim,915,617
4122673,3,headphones,7006960,"2018,09,21",0,tierra de changua,POLOMBIA,23932374,riveramichael@example.com,4.648625,-74.1,Catherine Johnson,"2018,09,21",566,Phillip Rios,566,534
48145799,4,cases,92141575,"2012,01,13",0,erda,POLOMBIA,31976438,alexanderpaul@example.net,10.4002813,-75.5,Roy Cook,"2012,01,13",10,Steven Brady,944,676
2429379,5,selfie stick,66710400,"2008,12,09",0,erda,POLOMBIA,38209059,cookgrace@example.org,10.4002813,-75.5,James Walker,"2008,12,09",633,Dennis Moore,336,123
53568098,4,cases,29543532,"1996,07,10",0,MEDALLO,POLOMBIA,25054411,xhooper@example.org,6.2441988,-75.6,Daniel Rios,"1996,07,10",559,Jason Weber,801,134
63964150,4,cases,69691605,"1998,11,26",0,paloma city,Jaime,79851553,gregory08@example.net,-12.037964,-77.0503238,Grant Marsh,"1998,11,26",483,Kathryn Lane,146,893
60158626,4,cases,1038082,"1971,10,03",0,erda,POLOMBIA,71515796,michaelharris@example.com,10.4002813,-75.5,Carrie Crawford,"1971,10,03",591,Donald Davis,365,984
53868458,5,selfie stick,94323452,"1981,07,24",0,tierra de changua,POLOMBIA,84565989,smorton@example.com,4.648625,-74.1,George Bailey,"1981,07,24",55,Thomas Villa,978,160
53071377,1,PC,23907704,"1995,09,06",0,MEDALLO,POLOMBIA,72737946,idavis@example.net,6.2441988,-75.6,Margaret Gonzalez,"1995,09,06",889,Rickey Callahan,326,751
79551289,2,charger smartphone,21999190,"1992,02,04",0,MEDALLO,POLOMBIA,68527437,welchkenneth@example.com,6.2441988,-75.6,Julie Scott,"1992,02,04",859,Brandon Fleming,145,961
34477127,2,charger smartphone,98794003,"2002,12,22",0,erda,POLOMBIA,11105108,lauren61@example.com,10.4002813,-75.5,Rachel Boyle,"2002,12,22",633,Shelly Ruiz,528,201
62523878,2,charger smartphone,7029693,"1997,01,18",0,tierra de changua,POLOMBIA,48187884,walkerapril@example.net,4.648625,-74.1,Terri Kirby,"1997,01,18",319,Nicholas Taylor,304,260
55075076,3,headphones,22762441,"1985,03,25",0,MEDALLO,POLOMBIA,58636495,clarence50@example.com,6.2441988,-75.6,Stephanie Garza,"1985,03,25",794,Bradley Baldwin,613,727
24836335,2,charger smartphone,423762,"2018,07,04",0,tierra de changua,POLOMBIA,79147052,brittney15@example.net,4.648625,-74.1,John Chapman,"2018,07,04",877,Jerry Tucker,955,672
59972691,3,headphones,90292452,"1983,10,07",0,tierra de changua,POLOMBIA,29646626,frankchristopher@example.com,4.648625,-74.1,David Glenn,"1983,10,07",906,James Mosley,491,950
12458671,1,PC,2534075,"1974,09,19",0,erda,POLOMBIA,78956944,troy12@example.org,10.4002813,-75.5,Andrew Nicholson,"1974,09,19",134,Timothy Church,389,270
818248,3,headphones,85220413,"1998,02,06",0,paloma city,Jaime,52625233,aaronmedina@example.com,-12.037964,-77.0503238,Adam Mccarthy,"1998,02,06",934,Victoria Robinson,168,223
30143872,5,selfie stick,77302557,"1975,05,12",5,erda,POLOMBIA,79295314,yolandalucas@example.net,10.4002813,-75.5,Susan Mclaughlin,"1975,05,12",765,Adam Weaver,780,216
84670759,1,PC,64110057,"1975,05,24",0,tierra de changua,POLOMBIA,84574616,georgedavis@example.org,4.648625,-74.1,Sarah Mcdonald,"1975,05,24",633,Donald Ray,829,929
40025107,2,charger smartphone,33333793,"2003,05,27",0,tierra de changua,POLOMBIA,50632864,ronaldsanders@example.net,4.648625,-74.1,Kenneth Jones,"2003,05,27",983,Valerie Brown,877,474
59411237,3,headphones,84537538,"1998,03,19",0,paloma city,Jaime,82784760,nelsonandrea@example.com,-12.037964,-77.0503238,Sarah Harris,"1998,03,19",220,Nancy Blanchard,626,856
90914205,4,cases,17702869,"1995,06,29",0,MEDALLO,POLOMBIA,20041458,smithnathaniel@example.org,6.2441988,-75.6,Jacob Williams,"1995,06,29",660,Kevin Cowan,111,746
90678550,5,selfie stick,13172438,"1990,09,05",4,paloma city,Jaime,79259432,wbrock@example.net,-12.037964,-77.0503238,Sara Weeks,"1990,09,05",504,Chad Fox,477,489
3085764,2,charger smartphone,67551559,"1997,08,08",0,erda,POLOMBIA,15929070,wharvey@example.net,10.4002813,-75.5,Ronald Johnson Jr.,"1997,08,08",261,Daniel Murphy,175,870
79359663,3,headphones,68152258,"1970,03,06",0,tierra de changua,POLOMBIA,6228397,mhays@example.org,4.648625,-74.1,Erin Collins,"1970,03,06",607,Ashley Curtis,408,713
21909477,3,headphones,27112512,"1970,01,22",1,paloma city,Jaime,50480666,kyle85@example.org,-12.037964,-77.0503238,Dustin Pope,"1970,01,22",285,Vanessa Fitzgerald,823,499
49898837,5,selfie stick,150710,"2017,10,20",0,MEDALLO,POLOMBIA,86169462,amanda17@example.org,6.2441988,-75.6,Diana Randolph,"2017,10,20",94,Michelle King,335,553
